continent,country,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,gdp_per_capita,human_development_index
Asia,Afghanistan,49378,2025,1268.433,52.019,38928341,54.422,1803.987,0.498
Europe,Albania,51424,1055,17869.206,366.599,2877800,104.871,11803.431,0.785
Africa,Algeria,93933,2640,2142.093,60.204,43851043,17.348,13913.839,0.754
Europe,Andorra,7466,79,96628.486,1022.455,77265,163.755,NA,0.858
Africa,Angola,16484,382,501.548,11.623,32866268,23.89,5819.495,0.581
North America,Antigua and Barbuda,151,5,1541.949,51.058,97928,231.845,21490.943,0.78
South America,Argentina,1524372,41534,33728.195,918.98,45195777,16.177,18933.907,0.825
Asia,Armenia,151392,2581,51090.127,871.008,2963234,102.931,8787.58,0.755
Oceania,Australia,28093,908,1101.691,35.608,25499881,3.202,44648.71,0.939
Europe,Austria,332828,4982,36954.61,553.162,9006400,106.749,45436.686,0.908
Asia,Azerbaijan,191460,2088,18883.193,205.934,10139175,119.309,15847.419,0.757
North America,Bahamas,7725,164,19644.092,417.04,393248,39.497,27717.847,0.807
Asia,Bahrain,89743,349,52740.889,205.103,1701583,1935.907,43290.705,0.846
Asia,Bangladesh,496975,7192,3017.651,43.67,164689383,1265.036,3523.984,0.608
North America,Barbados,305,7,1061.346,24.359,287371,664.463,16978.068,0.8
Europe,Belarus,167731,1299,17750.588,137.47,9449321,46.858,17167.967,0.808
Europe,Belgium,618204,18371,53341.198,1585.126,11589616,375.564,42658.576,0.916
North America,Belize,9791,213,24623.951,535.686,397621,16.426,7824.362,0.708
Africa,Benin,3152,44,259.997,3.629,12123198,99.11,2064.236,0.515
Asia,Bhutan,440,NA,570.235,NA,771612,21.188,8708.597,0.612
South America,Bolivia,148665,9031,12735.769,773.664,11673029,10.202,6885.829,0.693
Europe,Bosnia and Herzegovina,104087,3549,31725.958,1081.743,3280815,68.496,11713.895,0.768
Africa,Botswana,13014,38,5534.046,16.159,2351625,4.044,15807.374,0.717
South America,Brazil,7110434,184827,33451.514,869.531,212559409,25.04,14103.452,0.759
Asia,Brunei,152,3,347.442,6.857,437483,81.347,71809.251,0.853
Europe,Bulgaria,188288,6339,27097.861,912.29,6948445,65.18,18563.307,0.813
Africa,Burkina Faso,4611,73,220.587,3.492,20903278,70.151,1703.102,0.423
Africa,Burundi,751,1,63.158,0.084,11890781,423.062,702.225,0.417
Asia,Cambodia,362,NA,21.652,NA,16718971,90.672,3645.07,0.582
Africa,Cameroon,25472,445,959.547,16.763,26545864,50.885,3364.926,0.556
North America,Canada,492582,13940,13051.241,369.348,37742157,4.037,44017.591,0.926
Africa,Cape Verde,11502,110,20687.497,197.846,555988,135.58,6222.554,0.654
Africa,Central African Republic,4936,63,1021.996,13.044,4829764,7.479,661.24,0.367
Africa,Chad,1818,102,110.679,6.21,16425859,11.833,1768.153,0.404
South America,Chile,578732,16007,30274.413,837.352,19116209,24.282,22767.037,0.843
Asia,China,94734,4759,65.818,3.306,1439323774,147.674,15308.712,0.752
South America,Colombia,1468795,39787,28866.19,781.933,50882884,44.223,13254.949,0.747
Africa,Comoros,643,7,739.425,8.05,869595,437.352,1413.89,0.503
Africa,Congo,6200,100,1123.577,18.122,5518092,15.405,4881.406,0.606
North America,Costa Rica,156388,1980,30699.745,388.684,5094114,96.079,15524.995,0.794
Africa,Cote d'Ivoire,21772,133,825.376,5.042,26378275,76.399,3601.006,0.492
Europe,Croatia,186963,2955,45542.216,719.807,4105268,73.726,22669.797,0.831
North America,Cuba,9771,137,862.658,12.095,11326616,110.408,NA,0.777
Europe,Cyprus,16190,85,18483.866,97.043,875899,127.657,32415.132,0.869
Europe,Czechia,602404,10036,56252.219,937.157,10708982,137.176,32605.906,0.888
Africa,Democratic Republic of Congo,15089,366,168.477,4.087,89561404,35.879,808.133,0.457
Europe,Denmark,124366,992,21471.278,171.265,5792203,136.52,46682.515,0.929
Africa,Djibouti,5770,61,5840.069,61.741,988002,41.285,2705.406,0.476
North America,Dominica,88,NA,1222.375,NA,71991,98.567,9673.367,0.715
North America,Dominican Republic,157305,2375,14500.958,218.936,10847904,222.873,14600.861,0.736
South America,Ecuador,204249,13932,11576.733,789.659,17643060,66.939,10581.936,0.752
Africa,Egypt,123701,7015,1208.792,68.55,102334403,97.999,10550.206,0.696
North America,El Salvador,42397,1227,6536.492,189.171,6486201,307.811,7292.458,0.674
Africa,Equatorial Guinea,5214,85,3716.362,60.585,1402985,45.194,22604.873,0.591
Africa,Eritrea,741,NA,208.943,NA,3546427,44.304,1510.459,0.44
Europe,Estonia,20004,164,15079.843,123.63,1326539,31.033,29481.252,0.871
Africa,Eswatini,7093,135,6113.791,116.363,1160164,79.492,7738.975,0.588
Africa,Ethiopia,118481,1831,1030.596,15.927,114963583,104.957,1729.927,0.463
Oceania,Fiji,46,2,51.314,2.231,896444,49.562,8702.975,0.741
Europe,Finland,32228,484,5816.575,87.353,5540718,18.136,40585.721,0.92
Europe,France,2483524,59733,38047.96,915.119,65273512,122.578,38605.671,0.901
Africa,Gabon,9373,63,4211.206,28.305,2225728,7.859,16562.413,0.702
Africa,Gambia,3786,123,1566.622,50.897,2416664,207.566,1561.767,0.46
Asia,Georgia,201368,1953,50478.608,489.575,3989175,65.032,9745.079,0.78
Europe,Germany,1454009,25027,17354.268,298.709,83783945,237.016,45229.245,0.936
Africa,Ghana,53553,331,1723.461,10.652,31072945,126.719,4227.63,0.592
Europe,Greece,128710,3948,12348.586,378.776,10423056,83.479,24574.382,0.87
North America,Grenada,85,NA,755.428,NA,112519,317.132,13593.877,0.772
North America,Guatemala,131435,4551,7336.357,254.025,17915567,157.834,7423.808,0.65
Africa,Guinea,13485,80,1026.819,6.092,13132792,51.755,1998.926,0.459
Africa,Guinea-Bissau,2447,44,1243.396,22.358,1967998,66.191,1548.675,0.455
South America,Guyana,6042,158,7681.56,200.875,786559,3.952,7435.047,0.654
North America,Haiti,9627,234,844.286,20.522,11402533,398.448,1653.173,0.498
North America,Honduras,115474,3021,11658.614,305.01,9904608,82.805,4541.795,0.617
Europe,Hungary,291549,7538,30179.962,780.303,9660350,108.043,26777.561,0.838
Europe,Iceland,5588,28,16375.092,82.051,341250,3.404,46482.958,0.935
Asia,India,9979447,144789,7231.46,104.919,1380004385,450.419,6426.674,0.64
Asia,Indonesia,643508,19390,2352.66,70.89,273523621,145.725,11188.744,0.694
NA,International,721,15,NA,NA,NA,NA,NA,NA
Asia,Iran,1138530,53095,13555.066,632.136,83992953,49.831,19082.62,0.798
Asia,Iraq,580449,12650,14430.952,314.501,40222503,88.125,15663.986,0.685
Europe,Ireland,77678,2143,15731.31,433.999,4937796,69.874,67335.293,0.938
Asia,Israel,367975,3050,42513.229,352.375,8655541,402.606,33132.32,0.903
Europe,Italy,1906377,67220,31530.257,1111.776,60461828,205.859,35220.084,0.88
North America,Jamaica,11968,279,4041.658,94.22,2961161,266.879,8193.571,0.732
Asia,Japan,190950,2661,1509.767,21.039,126476458,347.778,39002.223,0.909
Asia,Jordan,269806,3496,26443.428,342.64,10203140,109.285,8337.49,0.735
Asia,Kazakhstan,189551,2615,10095.008,139.268,18776707,6.681,24055.588,0.8
Africa,Kenya,93405,1618,1737.079,30.09,53771300,87.324,2993.028,0.59
Europe,Kosovo,47499,1225,24575.558,633.804,1932774,168.155,9795.834,NA
Asia,Kuwait,147192,913,34466.65,213.789,4270563,232.128,65530.537,0.803
